record_idx,scene_id,iou_c0,iou_c1,iou_c2,iou_c3,miou
5779,1561711133.0,0.9409128173424544,0.9086230028052201,nan,0.8075584855560134,0.8856981019012293
1816,1560490306.0,0.9099428939854471,0.9008752515090543,nan,0.821754238180478,0.8775241278916598
7517,1590555423.0,0.9874440205672582,0.8703566372278029,nan,0.7341441350889537,0.8639815976280051
4626,1555349129.0,0.8322836296544783,0.0,0.37151474214982483,nan,0.40126612393476774
2355,1554690436.0,1.0,nan,nan,nan,1.0
2886,1524558674.0,0.98899540797094,0.891941705957994,nan,0.8132019252807701,0.8980463464032348
3644,1582508393.0,0.9121514272917992,0.7362195239471909,nan,0.5916228579231242,0.7466646030540381
8535,1591422240.0,0.9301410326458134,0.9132057353615155,nan,0.8940220742385004,0.9124562807486097
4978,1587861997.0,0.7974702198207049,0.8531625106090611,nan,0.7849929755886697,0.8118752353394786
4658,1554628105.0,0.7719922380336351,0.7765964076931706,nan,0.7170458428941073,0.755211496206971
8398,1577451479.0,0.8570221570825071,0.8582058558870354,nan,0.744144678327898,0.8197908970991469
8965,1577451479.0,0.9785300445468098,0.8275007742335089,nan,0.6667928241616834,0.824274547647334
1648,1589751453.0,0.9742957420145143,0.7871296971303599,nan,0.11865694317836524,0.6266941274410799
6448,1583177983.0,0.17870478413068844,nan,0.9456656412473319,nan,0.5621852126890101
9413,1549442990.0,0.8712040985717966,0.9762819286009943,nan,0.7578872740163063,0.8684577670630323
5086,1552403278.0,0.7139779173860685,0.6425646659342854,0.6156654984106285,0.00017576854797602518,0.4930959625697396
4778,1575559956.0,0.6061770187516641,0.9173756892103799,nan,0.6480394195850064,0.7238640425156836
8011,1571849326.0,0.5866351964378379,0.8711896341206686,0.0,0.4178369008433477,0.46891543285046355
2814,1565747253.0,0.8994146458009795,0.9839996657893637,nan,0.7335730290240217,0.8723291135381217
5581,1550576258.0,0.8396607770460733,0.6588864227584067,0.577312777677154,nan,0.6919533258272113
1500,1550865553.0,0.6543531167861895,0.5438192399025673,0.0,0.36361962867511705,0.39044799634096844
