record_idx,scene_id,iou_c0,iou_c1,iou_c2,iou_c3,miou
9000,9000,1.0,nan,nan,nan,1.0
9001,9001,0.8903911872831771,0.8200819437281531,0.0,0.8486883858684154,0.6397903792199364
9002,9002,0.7877919385328374,0.9342376259550438,nan,0.7648180840486192,0.8289492161788333
9003,9003,0.9646174010096149,0.7800057085771371,nan,0.5018969391137795,0.7488400162335105
9004,9004,0.7939587364611866,0.9009822315417725,nan,0.8083587875939849,0.834433251865648
9005,9005,0.8377570366049293,0.9329430661764313,nan,0.7114493843778456,0.827383162386402
9006,9006,1.0,nan,nan,nan,1.0
9007,9007,0.7303533850954212,0.9514009022760422,nan,0.4831974620974584,0.7216505831563073
9008,9008,0.9520258756363084,0.8895799275001777,nan,0.8472319107108884,0.8962792379491248
9009,9009,0.9534696219499528,0.8639614337830795,nan,0.0,0.6058103519110108
9010,9010,0.20934183049673782,0.31776470063309026,0.04319146852773351,0.0002032726903140563,0.1426253180869689
9011,9011,0.8071491082475782,0.5585887796414112,0.875213736841021,nan,0.7469838749100034
9012,9012,1.0,nan,nan,nan,1.0
9013,9013,0.8390941597139452,0.9388751364156619,nan,0.7292623674911661,0.8357438878735911
9014,9014,0.925350749111224,0.9155754813227132,nan,0.7886826639410904,0.8765362981250092
9015,9015,0.9551489998167527,0.8716932188042973,nan,0.8174497104280183,0.8814306430163561
9016,9016,0.9500477288072454,0.8821436408664849,nan,0.8041828565467963,0.8787914087401756
9017,9017,1.0,nan,nan,nan,1.0
9018,9018,1.0,nan,nan,nan,1.0
9019,9019,0.9692561418998555,0.7496146840409136,nan,0.699845877215515,0.8062389010520947
9020,9020,0.7905139524199508,0.02269569245020843,0.8390837924035952,nan,0.5507644790912515
9021,9021,0.7789836372006081,0.8819381031987975,nan,0.7241083974573436,0.7950100459522497
9022,9022,0.9225691541070979,0.8946805044910876,nan,0.8524663955545898,0.8899053513842584
9023,9023,0.8441393027881495,0.9307449418124292,nan,0.8219712876985052,0.8656185107663612
9024,9024,0.9399836132732486,0.7030956931816152,0.5292410365143642,nan,0.7241067809897427
9025,9025,0.9688937538730149,0.8659688537145774,nan,0.7314345362362064,0.8554323812745995
9026,9026,0.8389454479931528,0.8951513642346413,nan,0.7281659787412792,0.8207542636563577
9027,9027,1.0,nan,nan,nan,1.0
9028,9028,0.8476518959389262,0.9311015694867919,nan,0.6297571979527979,0.8028368877928386
9029,9029,0.9027289301043625,0.886907229062538,nan,0.8494907448410238,0.8797089680026415
9030,9030,0.4931799354098462,0.829705897344411,0.013836212951257199,0.8153924050632911,0.5380286126922014
9031,9031,0.9121055303133473,0.8528426161312688,nan,0.6435779542604646,0.8028420335683601
9032,9032,1.0,nan,nan,nan,1.0
9033,9033,0.9542078308876943,0.8296379883497514,nan,0.5194473105737741,0.76776437660374
9034,9034,0.9735031795371895,0.6972483924031704,nan,0.6279307873451418,0.7662274530951673
9035,9035,0.9787136986411968,0.8049738219895288,nan,0.6654406461849127,0.8163760556052129
9036,9036,0.9575109398742848,0.915065361811558,nan,0.90083138504765,0.9244692289111643
9037,9037,0.9992332458496094,nan,nan,0.0,0.4996166229248047
9038,9038,0.9032750003774781,0.9291910818062591,nan,0.8488635424415241,0.8937765415417539
9039,9039,0.7026841018582244,0.9495669893020886,nan,0.632094709414297,0.7614486001915367
9040,9040,0.8205529156355797,0.9147854826640059,nan,0.8382979709070694,0.8578787897355517
9041,9041,0.9033090214890597,0.7672728724572295,nan,0.49601555527221725,0.7221991497395023
9042,9042,1.0,nan,nan,nan,1.0
9043,9043,1.0,nan,nan,nan,1.0
9044,9044,0.85928531546622,0.870739708183414,0.5811606391925989,0.772450996693085,0.7709091648838294
9045,9045,0.7892677600600533,0.8880577985550361,0.8327557587582632,0.7840620233858668,0.823535835189805
9046,9046,0.8603921953560405,0.41548721532995514,0.5006584025791219,0.0,0.4441344533162794
9047,9047,0.9445947142196737,0.8529678948884408,nan,0.7646737646737647,0.8540787912606264
9048,9048,0.8242347908745247,0.4676969648689556,0.3265520409502559,0.5058291696407328,0.5310782415836173
9049,9049,0.9248740591477509,0.861848434104108,nan,0.8071493798036679,0.8646239576851756
9050,9050,0.8485375301186446,nan,0.6870759730303094,nan,0.7678067515744771
9051,9051,0.5387669521770164,0.8133720990281034,0.0,0.4722289350733043,0.4560919965696061
9052,9052,1.0,nan,nan,nan,1.0
9053,9053,0.6433251756532723,0.842349600209462,0.16849142959705646,0.6479477567956244,0.5755284905638538
9054,9054,0.1349776336849017,0.8913503283980853,0.0,0.6897508666678641,0.42901970718771276
9055,9055,0.8757687283683413,0.41776361368989884,0.36198830409356725,0.7559997623856481,0.6028801021343638
9056,9056,0.42249494456453524,0.663330458793913,0.36452540504934067,0.5638260907333811,0.5035442247852925
9057,9057,1.0,nan,nan,nan,1.0
9058,9058,0.6606901569483422,0.947343334504039,0.0,0.6229492211306404,0.5577456781457555
9059,9059,0.9119247143177235,0.8941235274516338,nan,0.8452324961590317,0.8837602459761297
9060,9060,0.6978077790345006,0.8083497385286491,0.11513702409416958,0.606834917238341,0.557032364723915
9061,9061,0.9430595964335993,0.7374635366023059,nan,0.8028514946384712,0.8277915425581255
9062,9062,1.0,nan,nan,nan,1.0
9063,9063,0.8602343257326828,0.8978853738356969,nan,0.8203156730109379,0.8594784575264391
9064,9064,0.8257288922234048,0.9249866008033992,nan,0.72385099177552,0.8248554949341079
9065,9065,0.9627395759241816,0.8313130024243971,nan,0.7915313413445924,0.8618613065643904
9066,9066,0.9519226397077769,0.9273220938309024,nan,0.8713143931761703,0.9168530422382832
9067,9067,1.0,nan,nan,nan,1.0
9068,9068,0.7934654345394081,0.8853682074631297,0.31918093105103185,0.8365267639902676,0.7086353342609593
9069,9069,0.9584111279192844,0.8276013850578086,nan,0.6635262449528937,0.8165129193099956
9070,9070,0.6226261482097663,0.922993224195064,0.0,0.7701835546933293,0.5789507317745399
9071,9071,0.9514002757929046,0.8051325780647257,0.0,0.6004672897196262,0.5892500358943141
9072,9072,1.0,nan,nan,nan,1.0
9073,9073,0.9525628797419994,0.8497301373124851,nan,0.8260987602183946,0.876130592424293
9074,9074,0.9422676016298683,0.8677041686370606,0.0,0.791670060546822,0.6504104577034377
9075,9075,0.9142167617376042,0.9162610207847635,nan,0.7192624271990716,0.8499134032404797
9076,9076,0.858755170847182,0.9551798292773913,nan,0.844490363762838,0.8861417879624703
9077,9077,1.0,nan,nan,nan,1.0
9078,9078,0.9136169584729503,0.7929128088989542,nan,0.7665595879682481,0.8243631184467176
9079,9079,0.9095652836321162,0.9268465016957669,0.7166490406405801,0.8246207479764597,0.8444203934862308
9080,9080,0.9157369348209042,0.884058803921794,nan,0.8312756173148056,0.8770237853525013
9081,9081,0.8347903333266036,0.9213692906535944,nan,0.837934280215226,0.8646979680651413
9082,9082,1.0,nan,nan,nan,1.0
9083,9083,1.0,nan,nan,nan,1.0
9084,9084,0.9802725288205079,0.8000143719459615,nan,0.5842213497850065,0.7881694168504919
9085,9085,0.5984923756090886,0.8203651442723032,0.5695157051683144,0.3494565012976267,0.5844574315868332
9086,9086,0.972855859783288,0.8836914579707952,0.07663197729422895,0.8297697689872181,0.6907372660088826
9087,9087,0.9212629205720052,0.9224862347452941,0.0,0.77276030033101,0.6541273639120773
9088,9088,0.8315921579268706,0.9417522053860299,nan,0.8683490630556695,0.88056447545619
9089,9089,1.0,nan,nan,nan,1.0
9090,9090,0.814442163884543,0.9155394098287499,nan,0.7895754017844169,0.8398523251659032
9091,9091,0.7134404671408443,0.2732151189920672,0.4468937678448361,0.0659237835998639,0.37486828439440284
9092,9092,0.9635226848630891,0.8489889768039495,nan,0.843624018671759,0.8853785601129326
9093,9093,0.7683785286169528,0.6999870946332111,nan,0.5108701582105838,0.659745260486916
9094,9094,0.8358548237953355,0.33765337423312886,0.7631064946102989,0.0,0.4841536731596908
9095,9095,0.2371158759510467,0.8098002401629393,0.0,0.2386230303030303,0.32138478660425407
9096,9096,0.9738670254512838,0.8692353763226193,nan,0.8226625024399766,0.8885883014046265
9097,9097,1.0,nan,nan,nan,1.0
9098,9098,0.826719922356191,0.9046229176831393,nan,0.8331871783629105,0.8548433394674135
9099,9099,0.7355322613941326,0.9237183242073093,nan,0.708156779661017,0.7891357884208197
9100,9100,0.8663964352871453,0.9056551497675756,0.0,0.6573842032492223,0.6073589470759858
9101,9101,0.9999313354492188,0.0,nan,nan,0.4999656677246094
9102,9102,0.7038871839836329,0.888179802634439,nan,0.8070947548136204,0.7997205804772308
9103,9103,1.0,nan,nan,nan,1.0
9104,9104,0.7789309635917501,0.930114134321893,nan,0.7484103179364128,0.8191518052833521
9105,9105,0.9340208225140342,0.8843019731968482,nan,0.8007146092295304,0.8730124683134709
9106,9106,0.8534437814980015,0.8800916423347114,nan,0.7483635997448894,0.8272996745258675
9107,9107,0.9678814192675896,0.8368372474617988,nan,0.804224,0.8696475555764628
9108,9108,1.0,nan,nan,nan,1.0
9109,9109,0.9356226889641368,0.8817899148303366,nan,0.761510292601415,0.8596409654652962
9110,9110,0.9217390308692864,0.8446531464089652,0.0,0.8141309323973752,0.6451307774189067
9111,9111,0.8527493109429706,0.9153059473813768,nan,0.7006098115955219,0.8228883566399565
9112,9112,0.6443678521071596,0.8237345953011737,0.3842316046701059,0.5161636700098239,0.5921244305220658
9113,9113,0.9246138257392017,0.8250548990902437,nan,0.7382246770756317,0.8292978006350257
9114,9114,1.0,nan,nan,nan,1.0
9115,9115,0.9293100609254076,0.9076967648478995,nan,0.8375089477451683,0.8915052578394919
9116,9116,0.9070404751002511,0.8645581063134047,nan,0.7584461623884167,0.8433482479340242
9117,9117,0.7784453861235848,0.9322834558559157,nan,0.7423417879737707,0.8176902099844238
9118,9118,0.9998893737792969,nan,nan,0.0,0.49994468688964844
9119,9119,0.9513367086974749,0.8890596925534039,nan,0.807233165120191,0.8825431887903566
9120,9120,0.9210573252951878,0.9389497070915185,nan,0.886161351737268,0.9153894613746582
9121,9121,0.7488642003588745,0.935077419576338,nan,0.7708649789029536,0.8182688662793888
9122,9122,0.9574175677265484,0.9041387024608502,nan,0.7560427711384671,0.8725330137752886
9123,9123,0.7135312430509229,0.9239439035896556,nan,0.48083715709899977,0.7061041012465261
9124,9124,0.9492811292251826,0.811639549436796,nan,0.8227858144024541,0.8612354976881442
9125,9125,0.6311692538581851,0.0,0.31597806036664,nan,0.31571577140827506
9126,9126,0.814386949140031,0.7700307340433136,0.0,0.6908653409606829,0.5688207560360068
9127,9127,1.0,nan,nan,nan,1.0
9128,9128,0.9100644237652111,0.9076296782665791,0.0,0.8154333528459764,0.6582818637194416
9129,9129,0.8771152111771809,0.9398600095373298,0.0,0.6100061587508604,0.6067453448663428
9130,9130,0.9421652088994565,0.8555024938979093,0.0,0.817899012751954,0.6538916788873299
9131,9131,1.0,nan,nan,nan,1.0
9132,9132,0.9362239075572714,0.8849023409911009,0.0,0.7459346891754176,0.6417652344309475
9133,9133,0.978636605142184,0.8862853204686423,nan,0.7952957615277131,0.8867392290461797
9134,9134,0.8882175882378478,0.866695382045057,nan,0.8302831150259382,0.8617320284362809
9135,9135,1.0,nan,nan,nan,1.0
9136,9136,0.30145621887410956,0.9071473904765217,0.0,0.25366165339624497,0.3655663156867191
9137,9137,0.879635757531191,0.9232487033361081,0.0,0.8679877917723423,0.6677180631599103
9138,9138,1.0,nan,nan,nan,1.0
9139,9139,0.9078752883645758,0.8363641462080955,0.0,0.8303936399626638,0.6436582686338338
9140,9140,0.6985676058555014,0.923270786450154,0.0,0.6678165120847992,0.5724137260976137
9141,9141,0.8468105938745757,0.7850610717514243,0.07452360723388761,0.6608536724669687,0.591812236331714
9142,9142,0.7197168163672655,0.8967339145544364,0.0,0.594948275862069,0.5528497516959427
9143,9143,0.8143894866925883,0.9126795291604828,nan,0.8637325335379321,0.8636005164636678
9144,9144,0.9112659229492173,0.8583843392474368,0.0,0.8947587892731325,0.6661022628674467
9145,9145,0.9949989318847656,nan,0.0,nan,0.4974994659423828
9146,9146,0.9750504456028249,0.8986857892240296,0.0,0.9049059299833294,0.694660541202546
9147,9147,0.8447035145347181,0.9534047806939389,0.0,0.6825477607265894,0.6201640139888116
9148,9148,0.6462603669803618,0.49439599429651493,0.24288951123745725,0.01169575611135388,0.348810407156422
9149,9149,0.9350989955104809,0.2755395683453237,0.8602026275545669,nan,0.6902803971367906
9150,9150,0.961052798621659,0.8494205129694716,nan,0.6676360614873287,0.8260364576928199
9151,9151,0.5589674863069573,0.8976808548073403,0.15786822486399354,0.18976674726212486,0.45107082831010403
9152,9152,1.0,nan,nan,nan,1.0
9153,9153,0.6137742076094402,0.49257364874834014,0.5849845154694969,0.4056277056277056,0.5242400193637458
9154,9154,0.9882337889758239,0.8130692496747145,nan,0.7949546414812974,0.8654192267106119
9155,9155,1.0,nan,nan,nan,1.0
9156,9156,0.9542457141583254,0.7968955639854456,nan,0.7147377546597312,0.8219596776011674
9157,9157,0.06878045494352503,0.8565369032939933,0.443811065227481,0.16680212328245245,0.38398263668686294
9158,9158,1.0,nan,nan,nan,1.0
9159,9159,0.9318866787221217,0.36871276153526394,0.816881682474978,0.7036712008190726,0.705288080887859
9160,9160,0.7788121832406633,0.8162524850894632,nan,0.6988968025044087,0.7646538236115118
9161,9161,0.46479514415781487,0.882456913504779,0.44415856680007626,0.6050752131410971,0.5991214594009419
9162,9162,0.6919919906346473,nan,0.37509514246150744,nan,0.5335435665480774
9163,9163,0.9092423983858177,0.7705256526912578,0.6840955764905303,0.700751388435152,0.7661537540006895
9164,9164,1.0,nan,nan,nan,1.0
9165,9165,0.844361322725642,0.6401876007621281,0.6940193064768376,0.6536585365853659,0.7080566916374934
9166,9166,0.10348322578465488,0.8768294673461615,0.06023864511162433,0.5791681230339042,0.40492986531908626
9167,9167,0.7242028682257883,0.9066583179102989,nan,0.5471482406740907,0.7260031422700594
9168,9168,0.7213382964939443,0.6868127436483399,0.0,0.49238334730371613,0.47513359686150014
9169,9169,1.0,nan,nan,nan,1.0
9170,9170,1.0,0.9090611139030306,nan,0.5924083359448449,0.8338231499492919
9171,9171,0.7653524139711577,0.788376603269284,0.0,0.660313450829554,0.5535106170174989
9172,9172,0.8789026655878351,0.6463138446868109,0.0,0.4775952307649248,0.5007029352598927
9173,9173,1.0,nan,nan,nan,1.0
9174,9174,0.7350907485682587,0.7078340220385675,nan,0.6298267585055312,0.6909171763707858
9175,9175,0.8252669238079267,0.6330078455720495,0.0,0.5011057525778689,0.4898451304894612
9176,9176,0.5046961585423124,0.5138983050847458,0.8381220889639142,0.20699815837937385,0.5159286777425867
9177,9177,0.1966059440147619,0.03157633018398807,0.6130508166068208,nan,0.2804110302685236
9178,9178,1.0,nan,nan,nan,1.0
9179,9179,0.884002098085497,0.9552201742338626,nan,0.7841940406393061,0.8744721043195552
9180,9180,0.9256459586243114,0.827516979197813,nan,0.7262058796978906,0.8264562725066718
9181,9181,0.9124405399614314,0.9316236629282363,nan,0.7448015122873346,0.8629552383923341
9182,9182,0.7799997828659523,0.868025770011473,0.0,0.7539088083641949,0.6004835903104051
9183,9183,1.0,nan,nan,nan,1.0
9184,9184,0.6507641907798857,0.5024675670084814,0.28885991597856003,0.7813157339130299,0.5558518519199893
9185,9185,0.5191063174114021,0.8371819247009926,0.6174389408810774,0.6519893255701116,0.656429127140896
9186,9186,0.6687420326269699,0.6457994107890731,0.34329223234855183,0.7032817524668115,0.5902788570578515
9187,9187,0.8530788127743546,0.8503363228699552,0.0,0.7264016349194108,0.6074541926409301
9188,9188,1.0,0.9338459712425393,nan,0.5976071990305031,0.8438177234243475
9189,9189,1.0,nan,nan,nan,1.0
9190,9190,0.079833984375,nan,0.0,nan,0.0399169921875
9191,9191,0.894164864090068,0.8491569056506629,nan,0.7339054966248795,0.8257424221218702
9192,9192,0.9618067616661831,0.8760731807031888,0.0,0.0,0.459469985592343
9193,9193,0.344506980938462,0.8283906867769806,0.0,0.5295444501730868,0.42561052947213235
9194,9194,1.0,nan,nan,nan,1.0
9195,9195,0.30875009457516833,0.32978363759296825,0.6861109873958936,0.42430047281062105,0.4372362980936628
9196,9196,0.9410015209788516,0.8309006562570718,0.0,0.7855343430357847,0.639359130067927
9197,9197,0.9607904642409034,0.9426676086357813,nan,0.36769714435420486,0.7570517390769632
9198,9198,0.3057228483066995,0.4817761806981519,0.20241077528711326,0.0,0.24747745107299116
9199,9199,1.0,nan,nan,nan,1.0
9200,9200,0.07703528583285128,0.8657327297565157,0.0,0.4355133042341742,0.3445703299558853
9201,9201,0.31678942454465964,0.0,0.6804086582632024,0.004598005471714765,0.2504490220698942
9202,9202,0.7591078066914498,0.9254017122854371,0.0,0.40118661203639655,0.5214240327533209
9203,9203,1.0,nan,nan,nan,1.0
9204,9204,0.8008814294486275,0.19847925751984793,0.19484496068312177,0.5507697947214076,0.4362438605932512
9205,9205,1.0,0.8808265070136382,0.0,0.7509472772545198,0.6579434460670395
9206,9206,0.5757019123157024,0.792250933356851,0.2907025019119414,0.45895346424461925,0.5294022029572786
9207,9207,0.6869579536721924,0.13786583684562964,0.4704891888884768,0.30797124499013934,0.4008210560991095
9208,9208,0.9645969755500071,0.8510739730381122,nan,0.74399178683093,0.8532209118063498
9209,9209,0.23674727227296705,0.060454265977069696,0.12461689460087594,nan,0.14060614428363757
9210,9210,1.0,nan,nan,nan,1.0
9211,9211,0.058450852050455124,0.27205725479547704,0.31139819130497254,0.0003949013843487418,0.16057529988381336
9212,9212,0.735306577023463,0.8960723586964172,0.0,0.6590693133745525,0.5726120622736082
9213,9213,0.3467361011160977,0.8446393126288959,0.0,0.049182611926435076,0.3101395064178572
9214,9214,1.0,nan,nan,nan,1.0
9215,9215,0.05078422920051729,0.8361577242952822,0.0,0.654363947945431,0.3853264753603076
9216,9216,1.0,0.9568066286318342,nan,0.13758050748816636,0.6981290453733334
9217,9217,0.9082277409818679,0.8198373435848739,nan,0.6707174631576331,0.7995941825747916
9218,9218,0.9073971110531153,0.8357582250483826,0.0,0.7175705173034946,0.6151814633512481
9219,9219,1.0,nan,nan,nan,1.0
9220,9220,0.4346454413892909,0.6981394667447993,0.6978252281246086,nan,0.6102033787528995
9221,9221,0.9924925293708298,0.8956047481552775,nan,0.8516203703703704,0.9132392159654925
9222,9222,0.43599397590361444,0.9275291385904207,nan,0.6698909022361507,0.6778046722433952
9223,9223,0.9158018563877788,0.8983576694276036,nan,0.8277539281409266,0.8806378179854364
9224,9224,1.0,nan,nan,nan,1.0
9225,9225,0.7283387039026137,0.5308363417569194,0.6181683395273071,0.3906005601833327,0.5669859863425432
9226,9226,0.4749661705006766,0.5522456322224594,0.626072308340208,0.45904846903748453,0.528083145025207
